Name,Description,Location,WeaponMechanic,ArmorMechanic,Magical?,Rarity
Wood,Any standard natural wood.,Worldwide.,-1 to Attack Rolls. +1 to Damage rolls.,AC -1,No,Common
Iron,Bog standard material.,Worldwide.,None.,None.,No,Common
Bronze,A heavy but non-ferrous material.,Worldwide.,This material is immune to rust.,This material is immune to rust.,No,Common
Dlarun,"This bone-white metal can take a high polish, and is often mistaken for ivory when seen in finished items, but it has a distinctive greenish sheen in candlelight and when in the presence of magical radiances.","Dlarun is derived from roasting clay dug from the banks of certain rivers. Dlarun is first gathered as white chips among fire ash that are then melted in a hot crucible that is filled with a secret mixture of liquids, resulting in a lump of soft, soap-like metal that can be readily carved by anyone with a sharp knife. When the desired result has been achieved, a second heating in the open flames of a fire fueled and supplemented by secret ingredients transforms the metal into lightweight rigidity.","Dlarun steadies the mind of any being in direct (bare flesh) contact with it, allowing them to make INT, WIS, and CHA savings throws with a +1 bonus.","Dlarun steadies the mind of any being in direct (bare flesh) contact with it, allowing them to make INT, WIS, and CHA savings throws with a +1 bonus.",Yes,Uncommon
Steel,"An Iron and Carbon Alloy, more resilient and strong than Iron.",Worldwide.,"Choose a benefit when this material is used to craft a weapon, +1 bonus to Attack Rolls OR +1 bonus to Damage rolls.",AC +1,No,Uncommon
Ironwood,A natural wood that seems to have absorbed the properties of the ore upon which it grows.,"A natural alternative to steel, found growing above ore deposits in ancient forests.","Choose a benefit when this material is used to craft a weapon, +1 bonus to Attack Rolls OR +1 bonus to Damage rolls. This material is immune to rust.",Armor made of this material is immune to rust. AC +1,No,Uncommon
Obsidian,"Obsidian is a deep black purple volcanic rock glass. If not handled carefully it's not uncommon to lose a finger. Although the material can technically be worked, it is more akin to stone masonry than blacksmithing. One must chip away bits and pieces to form a final shape.",Found near present and past lava flows.,"Weapons made of Obsidian add an aditional 1d4 slashing damage to their damage rolls. When attacking with this weapon and a Natural 1 is rolled, the weapon chips. Upon the third chip the blade irreversably breaks. Obsidian can be replaced fairly easily by most blacksmiths.","Armor is not 'made' of obsidian, but obsidian shards can be fixed to armor. Creatures who come into contact with armor lined with Obsidian must make a DC 15 Dexterity Saving throw or take 1d4 slahsing damage. While wearing armor made of Obsidian any critical hit against you chips the armor once. After 3 chips the armor no longer deals slashing damage. Obsidian can be replaced fairly easily by most blacksmiths.",No,Uncommon
Roc Talon,Incredibly sharp talons of a white-yellow coloration.,Harvested from a fresh Roc corpse.,Weaponry made of a Roc's Talons grants its user a passive +2 to their intimidation.,Armor made of a Roc's Talons grants its wearer a passive +2 to their intimidation.,No,Uncommon
Silvered,Silvered weaponry is a cheap alternative to magic weaponry.,Worldwide.,Silvered weaponry bypasses magical resistances without the high cost associated with enchantments.,Creatures weak to silver attack at disadvantage.,No,Uncommon
Adamantine,"5 parts adamant, 1 part mithral, 2 parts silver, 1 part steel. Adamant on its own is very fragile, but adamantine, the alloy, is well known for its durability.",Alloy created by skilled smiths.,"Whenever an adamantine weapon or piece of ammunition hits an object, the hit is a critical hit.",While wearing armor made of Adamantine any critical hit against you becomes a normal hit.,No,Rare
