Name,Description,Requirements,Enchant Components,Rarity,Homebrew?
None,None,,,,
Night's Blessing,"While holding the weapon, you can use an action to give yourself 1d4 + 4 temporary hit points. This property can’t be used again until the next dusk.",Any,Must be done under cover of darkness.,Common,Altered
Moon-Touched,"In darkness, the unsheathed blade of this weapon sheds moonlight, creating bright light in a 15-foot radius and dim light for an additional 15 feet.",Any,Must be done under moonlight.,Common,No
Unbreakable,"This ammunition can’t be broken, except when it is within an antimagic field.",Ammo,A clear gem worth 10gp.,Common,No
Walloping,A creature hit by this ammunition must succeed on a DC 10 Strength saving throw or be knocked prone.,Ammo,A red gem worth 10gp.,Common,No
Committed,This weapon deals an additional 1d4 damage of the weapon's type when attacking a creature that has already been hurt by this weapon.,Any,,Uncommon,Yes
Distance,This weapon's distance has double the range increment of other weapons of its kind.,Ranged,A feather worth 5gp.,Uncommon,Yes
Grasping Vines,"When you attack a creature with this magic weapon and roll a 20 on the attack roll, that target must make a DC 15 Strength saving throw or become grappled by vines that grow from the earth beneath their feet till the start of your next turn.",Any,,Uncommon,Yes
Holy Light,"This weapon glows as bright as a torch when its wielder commands. While glowing, the weapon deals an extra 1d6 radiant damage to undead creatures.",Any,Sacrificial Offering appropriate to deity worth 25gp.,Uncommon,No
Huntsman's Prowess,"When you hit a beast with an attack using this weapon, the attack deals an extra 1d6 damage of the weapon’s type, and you have advantage on Wisdom (Survival) checks to track that creature for the next hour.",Any,25gp worth of mixed beast bone dust.,Uncommon,Yes
Invisibility,"You can use an action to cause this weapon to become invisible until you use another action to make it visible, until you drop the weapon, or until you die.",Any,A clear diamond worth 50gp.,Uncommon,Altered
Knockback,A creature hit by this weapon must succeed on a DC 13 Strength saving throw or be knocked 5 feet back.,Melee,A red gem worth 30gp.,Uncommon,Yes
Moon's Grace,"When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding this weapon.",Any,Sacrificial Offering appropriate to deity worth 25gp.,Uncommon,Altered
Necrotection,"When you hit with an attack using this magic weapon and reduce the target to 0 hit points, you gain 2d6 temporary hit points.",Any,50gp of bone dust.,Uncommon,Altered
Silent Moon,During night time this weapon deals an extra 1d6 necrotic damage. While under direct moon light the weapon glows dimly for a 5ft radius.,Any,,Uncommon,Yes
Slumbering Dragon's Wrath,"Whenever you roll a 20 on your attack roll with this weapon, each creature of your choice within 5 feet of the target takes 10 damage of the same type as the breath infused in the weapon—acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, or thunder.",Any,Using 150gp worth of any material from a dragon.,Uncommon,Altered
Valor,"When you hit a creature with this weapon or with ammunition fired from this weapon, you can channel your rallying spirit through the weapon as a bonus action. A creature of your choice within 30 feet that can see or hear you gains temporary hit points equal to your proficiency bonus.",Any,,Uncommon,Yes
Vicious,"When you roll a 20 on your attack roll with this magic weapon, the target takes an extra 7 damage of the weapon’s type.",Any,,Uncommon,Altered
Blink,"This weapon contains 3 charges and regains expended charges when the wielder traces a constellation with it over the course of a long rest. After throwing this weapon, you may use a bonus action to expend a charge to teleport to the weapon's location and grab hold of it so long as it is within 60 ft. of you.",Thrown,,Rare,Altered
Bludgeoning Counter,This weapon ignores resistance to bludgeoning damage.,Any,"Silver and Iron, powdered mixture worth 100gp.",Rare,Altered
Certain Death,"When you damage a creature with an attack using this magic weapon, the target can’t regain hit points until the start of your next turn.",Any,An amount of Pitch worth 50gp.,Rare,No
Construct Destruction,"When you roll a 20 on an attack roll made with this weapon, the target takes an extra 7 damage of the weapon's type, or 14 damage if it's a construct. If a construct has 25 hit points or fewer after taking this damage, it is destroyed.",Any,A gear from a construct.,Rare,No
Corpse Slayer,"When you hit an undead creature with an attack using this weapon, the attack deals an extra 1d8 damage of the weapon’s type, and the creature has disadvantage on saving throws against effects that turn undead until the start of your next turn.",Any,Sacrificial Offering appropriate to deity worth 125gp.,Rare,No
Crystal Blade,"When you hit with an attack roll using this weapon, the target takes an extra 1d8 radiant damage.  The weapon has 3 charges and regains 1d3 expended charges daily at dawn. When you hit a creature with an attack roll using the weapon, you can expend 1 charge to regain a number of hit points equal to the extra radiant damage the weapon dealt. While you're holding the weapon, you can use a bonus action to cause it to shed bright light in a 30-foot radius and dim light for an additional 30 feet, to cause it to shed dim light in a 10-foot radius, or to douse the light.",Any,A crystal of appropriate length and a Sacrificial Offering appropriate to deity worth 125gp.,Rare,No
Devotee's Censer,"This weapon counts as a holy symbol for you. When you hit with an attack using this magic weapon, the target takes an extra 1d8 radiant damage.  As a bonus action, you can speak the command word to cause the weapon to emanate a thin cloud of incense out to 10 feet for 1 minute. At the start of each of your turns, you and any other creatures in the incense each regain 1d4 hit points. This property can’t be used again until the next dawn.",Any,Sacrificial Offering appropriate to deity worth 250gp.,Rare,No
Disheartening Strike,"When you hit a creature with an attack using this weapon, you can fill the target with unsettling dread: the target has disadvantage on the next saving throw it makes before the end of your next turn. The creature ignores this effect if it’s immune to the frightened condition. Once you use this property, you can't do so again until the next dusk.",Any,,Rare,Altered
Dragon Slayer,"When you hit a dragon with this weapon, the dragon takes an extra 3d6 damage of the weapon's type. For the purpose of this weapon, ""dragon"" refers to any creature with the dragon type, including dragon turtles and wyverns.",Any,,Rare,Altered
Dragon's Infusion,"This weapon is infused with the essence of a chromatic, gem, or metallic dragon’s breath. When you hit with an attack roll using this magic weapon, the target takes an extra 1d6 damage of the same type as the breath infused in the weapon—acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, or thunder.",Any,,Rare,Altered
Druidic Infusion,This weapon grants its user the ability to transform into any CR 1/2 or lower creature known to the user once per long rest.,Any,,Rare,Yes
Drunkard's Favor,"This weapon has 3 charges. While you carry it, you can use an action and expend 1 charge to turn water to wine. This wine's flavor, tempermant, and make are to your request. The weapon regains 1d3 expended charges daily at dawn.",Any,,Rare,Yes
Fish Command,"This weapon has 3 charges. While you carry it, you can use an action and expend 1 charge to cast dominate beast (save DC 15) from it on a beast that has an innate swimming speed. The weapon regains 1d3 expended charges daily at dawn.",Any,,Rare,Altered
Flame Tongue,"You can use a bonus action to speak this magic weapon's command word, causing flames to erupt from the weapon. These flames shed bright light in a 40-foot radius and dim light for an additional 40 feet. While the weapon is ablaze, it deals an extra 2d6 fire damage to any target it hits. The flames last until you use a bonus action to speak the command word again or until you drop or sheathe the weapon.",Any,,Rare,No
Giant Slayer,"When you hit a giant with this weapon, the giant takes an extra 2d6 damage of the weapon's type and must succeed on a DC 15 Strength saving throw or fall prone. For the purpose of this weapon, ""giant"" refers to any creature with the giant type, including ettins and trolls.",Any,,Rare,No
Holy Disruption,"When you hit a fiend or an undead with this magic weapon, that creature takes an extra 2d6 radiant damage. If the target has 25 hit points or fewer after taking this damage, it must succeed on a DC 15 Wisdom saving throw or be destroyed. On a successful save, the creature becomes frightened of you until the end of your next turn. While you hold this weapon, it sheds bright light in a 20-foot radius and dim light for an additional 20 feet.",Any,,Rare,No
Infinity,"If you load no ammunition in this weapon, it produces its own, automatically creating one piece of magic ammunition when you ready the weapon. The ammunition created by the weapon vanishes the instant after it hits or misses a target.",Ranged,,Rare,Yes
Intuition,"While holding this weapon, you have advantage on Wisdom (Insight) checks made to discern a lie spoken in a language you understand.",Any,"A rope made of gold worth at least 150gp, A silvered tongue worth at least 10gp.",Rare,Altered
Keen,This weapon has an increased critical range of 19-20.,Any,A finely sharpened dagger made of quartz worth at least 300gp.,Rare,Yes
Life Stealing,"When you attack a creature with this magic weapon and roll a 20 on the attack roll, that target takes an extra 10 necrotic damage if it isn't a construct or an undead. You also gain 10 temporary hit points.",Any,,Rare,No
Lightning Bolt,"When you hurl this weapon and speak its command word, it transforms into a bolt of lightning, forming a line 5 feet wide that extends out from you to a target within 120 feet. Each creature in the line excluding you and the target must make a DC 13 Dexterity saving throw, taking 4d6 lightning damage on a failed save, and half as much damage on a successful one. The lightning bolt turns back into a weapon when it reaches the target. Make a ranged weapon attack against the target. On a hit, the target takes damage from the weapon plus 4d6 lightning damage.

The weapons' property can't be used again until the next dawn. In the meantime, the weapon can still be used as a magic weapon.",Thrown,Twig from a tree that has been struck by lightning.,Rare,Altered
Long Striker,"This weapon has five charges. When you make a melee attack, you can expend a charge to target a creature you can see within 60 feet as if you were within 5 feet of them. The weapon regains all its charges when a creature attuned to it finishes a long rest.",Melee,,Rare,Yes
Lucky,"While the weapon is on your person, you gain a +1 bonus to saving throws.",Any,A four leaf clover plated in 300gp of gold.,Rare,Altered
Magical Signature,This weapon can only be attuned by the one who's magical signature matches the signature embued within this enchantment.,Any,A large vial of the intended recipient's blood and 150gp worth of crushed gem dust.,Rare,Yes
Merciful,"The weapon deals an extra 1d6 points of damage of the weapon's type, and all damage it deals is nonlethal damage. On command, the weapon suppresses its magical ability until commanded to resume it. Weapons that use ammunition bestow the merciful effect upon their ammunition.",Any,,Rare,Yes
